auth	audit_log_entries	0
auth	custom_oauth_providers	0
auth	flow_state	0
auth	identities	0
auth	instances	0
auth	mfa_amr_claims	0
auth	mfa_challenges	0
auth	mfa_factors	0
auth	oauth_authorizations	0
auth	oauth_client_states	0
auth	oauth_clients	0
auth	oauth_consents	0
auth	one_time_tokens	0
auth	refresh_tokens	0
auth	saml_providers	0
auth	saml_relay_states	0
auth	schema_migrations	76
auth	sessions	0
auth	sso_domains	0
auth	sso_providers	0
auth	users	0
auth	webauthn_challenges	0
auth	webauthn_credentials	0
public	_prisma_migrations	14
public	event_data	0
public	link	0
public	pixel	0
public	report	0
public	revenue	0
public	segment	0
public	session	2364
public	session_data	0
public	team	0
public	team_user	0
public	user	1
public	website	3
public	website_event	4363
realtime	messages	0
realtime	schema_migrations	68
realtime	subscription	0
storage	buckets	0
storage	buckets_analytics	0
storage	buckets_vectors	0
storage	migrations	61
storage	objects	0
storage	s3_multipart_uploads	0
storage	s3_multipart_uploads_parts	0
storage	vector_indexes	0
vault	secrets	0
